price_clean,building_type_clean,year_built_clean,floor_size_clean,address_clean,room_clean,shower_clean,car_clean,size_clean,description_clean,coordinates
1350000,House,1998,,1/29 Oakleigh Road Carnegie VIC 3163,3,3,2,386,"Brilliantly positioned in a thriving, community minded location, this immaculate single level residence with its own courtyard and carport represents private, low maintenance living in a prime address surrounded by local convenience. Entry into a welcoming living and dining room with polished flooring and ducted heating/cooling, flows through to the large house-sized kitchen, with abundance of storage options. Three spacious bedrooms enjoy BIRs (two with ensuites and master with walk-in-robes), serviced by a central family bathroom with separate bath. Outside, discover a huge courtyard garden - the perfect space for enjoying a morning coffee or entertaining with friends and family. Other impressive highlights include a separate laundry and undercover carport with its own driveway, for convenient off-street parking.  Enviably located in a thriving address with modern amenity on the doorstep, lifestyle lovers will enjoy effortless access to the tranquillity of nearby Koornang Park, plus Ormond train station, popular schools, kindergartens, shopping, and major freeways all within easy reach. Ideal for first buyers, small families and buyers looking to downsize (not downgrade!), this terrific opportunity will excite and delight for its low maintenance living and local convenience appeal. There's so much to love!  Show More","(-37.898419, 145.048407)"
,Townhouse,1930,132,62 Neville Street Carnegie VIC 3163,3,2,,313,"From its picture-perfect clinker brick Art Deco exterior to its immaculately renovated contemporary interior, this inviting single level sanctuary, ideally located in the heart of Carnegie, is bound to capture your heart. Polished timber floors flow seamlessly from the entrance hallway through to a generously sized living room with gas log fireplace & an adjoining dining room, both enjoying lovely green outlooks. Adding to the appeal, a gourmet stone topped kitchen with breakfast bar, quality stainless steel appliances (including dishwasher & integrated microwave) & plenty of storage enjoys access to a vast paved alfresco entertaining area with built-in BBQ area & a lushly landscaped wrap around garden sanctuary. While a main bedroom with walk through robe & stylish ensuite with bath & shower, two additional bedrooms with mirrored built-in robes & a sparkling central bathroom complete the accommodation. With nothing to do but move in & enjoy, this light filled charmer also features split system heating/cooling, ducted heating, a custom fitted laundry with wine fridge, plantation shutters, two storage sheds & off-street parking for one car. All superbly positioned in a family friendly neighbourhood with entry via Albert Street, just moments from Lord Reserve, Carnegie Swim Centre, Koornang & Glen Huntly Road shopping strips & transport, schools, Packer Park & popular Left Field Cafe.","(-37.89809, 145.051495)"
668888,Unit,2015,72,106/25 Truganini Road Carnegie VIC 3163,2,2,1,1895,"If a stress-free lifestyle is what you seek, this well-maintained home is ideal. Located just a short walk from Carnegie's bustling shopping district, you'll have renowned restaurants, bars, cafes & boutiques right at your doorstep. Stay active with nearby parks, the velodrome & the upcoming Carnegie swimming pool. Convenience extends to several supermarkets, Carnegie Central Shopping Centre & esteemed schools like Carnegie Primary, Glen Huntly Primary & St. Anthony Primary School. Childcare options are also plentiful. This apartment doesn't compromise on quality, featuring an open layout with oak flooring, split system heating & cooling, spacious carpeted bedrooms with built-in robes & a main bedroom with a study nook & ensuite. Additional amenities include a Euro laundry, extra storage, a well-sized balcony, underground parking, visitor spots, secured storage & bike parking.25 Truganini is a sought-after building with a central piazza that fosters a sense of community. Perfect for singles, couples, families & students, it's a great investment with strong rental returns & capital growth potential.Show More","(-37.889155, 145.05472)"
1350000,House,,,11 Byron Street Carnegie VIC 3163,2,1,1,420,"Those with a penchant for a bygone era - and even those with an eye to the future - will simply love this sweet period home in a quiet, low-traffic pocket of Carnegie.  'Beulah', c1910, is a charming character-rich cottage that is ready to move into while brimming with luxury home potential. Instantly enchanting, it includes a welcoming lounge, separate dining room, two good-sized bedrooms with built-in robes and a practical kitchen with gas cooktop and room for a table. A bright bathroom with WC is also included along with a laundry (with shower) and a second toilet. A gas heater provides winter comfort and a double garage at the rear of the property is an invaluable inclusion.The sizeable backyard provides plenty of room for a rear extension, while the 420sqm allotment itself will no doubt appeal to many as the perfect site for a brand-new family showstopper (both STCA). Within moments of Glen Huntly station, city-bound trams, shops and cafes, this prized address is close to a choice of schooling options including St Anthony's, Carnegie and Glen Huntly primary schools, Glen Eira College and Kilvington Grammar. We donate a portion of our fee from every property transaction to the Woodards Foundation to support people experiencing homelessness, family violence and social isolation.Show More","(-37.886833, 145.047607)"
1520000,Unit,2000,,1/16 Milton Street Carnegie VIC 3163,3,2,2,461,"A private & peaceful lifestyle awaits in this delightfully presented, single level unit, designed with generous house-sized proportions, two living zones & the added advantage of two outdoor spaces to enjoy. One of just two on the block, in a quiet no through road location, this street fronted abode presents a fabulous opportunity for young families or downsizers looking for low maintenance single level ease. Polished timber flooring flows from the entrance hallway with storage through to an impressively proportioned formal lounge & dining room with atrium style windows enjoying gorgeous garden views. While a well appointed sunlit kitchen with stainless steel appliances (Including dishwasher) & an abundance of storage overlooks a family meals & living area with two sets of sliding doors, providing access to an expansive entertainer's deck & wrap around garden, creating a fabulous indoor-outdoor flow. Also featuring a good sized main bedroom with built-in robes & ensuite, two additional bedrooms with built-in robes, a study/optional fourth bedroom & central bathroom. Other features include split system heating/cooling, a separate laundry, substantial hallway storage & a single auto garage with off street parking for a second car in driveway.  Located in the heart of Carnegie, close to the vibrant Koornang Road shopping district famous for its restaurants & cafes. Close to two train stations & a tram, parklands, schools & Caulfield Racecourse.","(-37.886937, 145.049011)"
1725000,House,1950,168,24 Grandview Grove Carnegie VIC 3163,3,1,2,648,"The splendid option to live comfortably, revive or reinvent this classic residence, or simply begin again (STCA) on a magnificent corner block of 648m2(approx.) is real.  Timeless features and classic style blend with renovations completed a long way, offering a place for everyone to escape.  A warm and inviting entrance introduces the elegant L-shaped formal living and dining room with brilliant north facing natural light and a Heat & Glo for winter. A stylish kitchen featuring Westinghouse & Bosch appliances, plenty of cupboard space and a door to a side garden for a BBQing/outdoor cooking area, adds to the family entertaining value. A flexible extension at the rear has room enough for casual living on a grand scale, perfect for big couches making the ultimate teen retreat, or even a fantastic home office with sliding doors revealing a truly beautiful established garden with abundant fruit trees, and a cubby under a Jacaranda tree.  Double sized, the main bedroom is enhanced by built-in sliding wardrobes with so much storage, followed by two further fitted double bedrooms.  A crisp modern bathroom filters natural light through a glass feature wall and includes a frameless shower and mosaic tiles.  So many amenities are in a reticulated water system, water tanks/rain water storage, four split systems throughout, ducted heating, a big lined attic space for super storage and more.  Continuing the superb options, access off Leila Road leads to parking and a double garage with workshop area completing a rare prospect in a prime location only a short, picturesque walk to Packer Park, in the McKinnon Primary and Glen Eira College zones, transport and the best of Koornang Road shopping strip.   ALL ENQUIRIES MUST INCLUDE A CONTACT NUMBER. For more information, contact Chris Hassall at Buxton Bentleigh on 0412 898 990 or the Buxton Office on 9563 9933. 'We have obtained all information in this document from sources we believe to be reliable; however, we cannot guarantee its accuracy. Prospective purchasers are advised to carry out their own investigation.'Show More","(-37.90171, 145.055653)"
2015000,House,,,9 Reserve Avenue Carnegie VIC 3163,4,2,,572,"This cherished 1920's Californian Bungalow residence on 572m2, has been owned by one family for four decades. It has been lovingly maintained, updated and extended into an extremely versatile family home. Beautifully looked after and conveniently located in the heart of Carnegie, this warm and inviting period treasure features multiple living zones and beautiful front and rear gardens. This home provides a fabulous space for family living while retaining its original appeal & style. A charming facade and front porch greet you on arrival. The elegant and spacious formal lounge features an ornate fireplace and a magnificent decorative ceiling. All four bedrooms have built-in robes.The blackwood kitchen, with Miele updated appliances, overlooks the heart of the home - an expansive open plan living and dining zone with engineered European oak flooring, gorgeous garden and abundant storage. This light-saturated extension looks out to a large paved alfresco entertaining area. The lush parklike rear garden sanctuary boasts a majestic rainforest tree and picturesque garden surrounds. Other features include hydronic heating, split system heating/cooling, a separate laundry, two storage sheds and off-street parking for one car. Situated in an excellent location, this home is in easy walking distance to parks, schools, trams, trains, buses and the new Carnegie Swim Centre. A multitude of shops, cafes, restaurants and vibrant Koornang Road are also close by.Show More","(-37.893223, 145.052544)"
,Apartment,,,102/25 Truganini Road Carnegie VIC 3163,2,2,1,,"**Thank you for viewing this property. Please be advised that this auction will be conducted online only, and no one will be present on site. Registration is required prior to bidding. See the registration link and Live Auction-Room link below (Spectators are welcome!)** Bidding Registration:  https://portal.bidtracker.com.au/auctions/58b5af7e-d3da-4892-a23a-25dc6962965a/register-bidder/  (This link will expire 15minutes before the auction)  Auction Room:  https://meet.google.com/vny-dadz-jqa Experience first-class modern living in this stylish two-bedroom, two-bathroom apartment. Beautiful floorboards guide you into a bright, open space that includes a living/dining area and a well-appointed kitchen. The kitchen boasts ample storage with overhead and under-bench cabinetry and a striking black glass splashback. Retreat to two carpeted bedrooms, each featuring built-in robes. The master bedroom includes an ensuite and a study nook, while the secondary bedroom offers direct access to a northeast-facing balcony. Additional features include split system heating and cooling, a private enclosed balcony, an internal European laundry, and secure underground parking. Conveniently located near the bustling Carnegie precinct on Koornang Road, with easy access to local parks, schools, and public transport, this apartment offers modern living at its finest.Show More","(-37.889155, 145.05472)"
1507777,House,,,1 Blackwood Street Carnegie VIC 3163,4,2,3,650,"Whether you're a growing family, astute developer or savvy investor this generously proportioned family home in a vibrant lifestyle location, with large front & rear gardens, is an opportunity you don't want to miss. The substantial 650m2* allotment could easily accommodate a modern addition with potential to renovate & enhance or alternatively create the luxurious family home you've always dreamed of (STCA). A wide entrance hallway with storage delivers an expansive living & adjoining dining room enjoying access to a large rear garden, a functional spacious kitchen, a study/optional 4th bedroom & a downstairs bathroom & laundry with external access. While upstairs a main bedroom with built-in robes & dual access ensuite as well as two additional bedrooms with built-in robes, complete the accommodation. Also featuring ducted heating, split system heating/cooling & off street parking behind front gates. Ideally located just a heartbeat from Murrumbeena & Carnegie's cafes, shops & stations, within the Murrumbeena Primary School zone & just minutes to Chadstone Shopping Centre. *Approximate Title Dimensions.","(-37.887511, 145.066272)"
500000,Unit,2020,66,418/1060 Dandenong Road Carnegie VIC 3163,2,2,1,4146,"This opulent near new apartment provides the ultimate lifestyle for urban living. Featuring spacious open plan living, kitchen with stone bench tops, stainless steel appliances including dishwasher and electric cooktop, and an abundance of cupboard space, large living are with split system heating and cooling and double glazed doors opening to the extensive balcony, two large bedrooms both with BIR's, master with ensuite and split system heating and cooling and a luxurious main bathroom. Also boasting a fabulous common area rooftop garden for your enjoyment and entertaining, storage cage, shared bike storage, secure entry, lift access & undercover secure parking. Located in prime position to shopping mecca Chadstone and popular Koornang Rd village with an amazing array of eateries on offer, close to train and bus, major transport links, Monash University Caulfield Campus, parks and schools.","(-37.884011, 145.055879)"
,Unit,2011,61,203/9 Morton Avenue Carnegie VIC 3163,2,1,1,,"This is an exciting opportunity to secure a modern, open & light-filled apartment within walking distance of the hustle & bustle in Koornang Road's shopping strip. With all the main rooms enjoying a north-facing aspect, the layout delivers spacious living/dining, stone kitchen with dishwasher & a Euro laundry. The genuinely generous covered balcony is perfect for outdoor relaxation & hosting friendly barbeques no matter what conditions the weather brings. Also on offer are a car space, mirrored bedrooms robes, reverse-cycle air conditioner, lift access & secure intercom entry. Love the freedom of living so close to internationally inspired & always popular eating-out venues, transport, shops, bakeries, fruiterers, supermarkets & Carnegie Library.","(-37.886868, 145.059005)"
630000,Apartment,,,214/112 Mimosa Road Carnegie VIC 3163,2,2,1,,"Discover the perfect blend of style and convenience in this immaculate 2-bedroom, 2-bathroom apartment in the heart of Carnegie. This modern residence is ideal for both owner-occupiers and investors, with a rental estimate of around $700/week. Step into a spacious open-plan living area, seamlessly connecting the sleek kitchen and private balcony, perfect for entertaining or unwinding. The master bedroom features a luxurious ensuite, while the second bedroom is generously sized with a well-appointed main bathroom. Location is key, and this apartment delivers! You're just a 7-minute walk from Carnegie Train Station, offering easy access to Caulfield Train Station and Monash University. Enjoy the vibrant Koornang Road shopping precinct, brimming with cafes, restaurants, and boutique shops. For more extensive retail therapy, Chadstone Shopping Centre is only a 3-minute drive away.This vacant apartment is ready for you to move in and start enjoying the best of Carnegie living. Don't miss this exceptional opportunity to own a piece of this thriving suburb. Contact us today to arrange a viewing and make this stunning apartment your new home or investment property!Show More","(-37.885998, 145.053578)"
,Townhouse,,,2/12 Yendon Road Carnegie VIC 3163,3,2,2,,"Radiating with fresh finishes and a contemporary flair, this pristine townhouse epitomises low-maintenance living in an exceptional location. With expansive family-sized spaces and the coveted feature of a downstairs master suite, this residence appeals to a broad spectrum of buyers. Situated centrally among three units, the double-storey home is bathed in natural light, showcasing warm hardwood floors throughout the ground floor living areas. These include a spacious lounge and an inviting dining area adjacent to a gleaming stone kitchen. Equipped with abundant cupboard and preparation space, along with stainless steel appliances, the kitchen is perfect for hosting guests, whether indoors or on the sun-drenched northerly courtyard. Designed for ease and accessibility, the generous ground-floor master suite features a wall of built-in robes and a crisp ensuite. Upstairs, two additional bedrooms also offer fitted storage and share a bright bathroom with a convenient separate WC. The ground floor also includes a powder room and laundry facilities, along with secure internal entry to the double auto garage. Ducted heating and split systems complete this immaculate property.Ideally located for access to a network of buses and trams, this townhouse is within easy reach of both Glen Huntly and Carnegie's stations and shops, and is close to Carnegie Primary School.Show More","(-37.889222, 145.049521)"
